Rater;Grade;Name
24;8;Cochran_1957
26;8.5;Cochran_1957
45;8,5;Cochran_1957
9;8;Cochran_1957
42;5;Cochran_1957
1;10;Cochran_1957
2;7;Cochran_1957
8;7;Cochran_1957
13;10;Cochran_1957
19;8;Cochran_1957
21;9;Cochran_1957
25;9;Cochran_1957
28;9;Cochran_1957
33;7;Cochran_1957
37;9;Cochran_1957
38;6;Cochran_1957
39;8;Cochran_1957
43;10;Cochran_1957
44;10;Cochran_1957
46;5;Cochran_1957
22;10;Cochran_1957
3;10;Cochran_1957
12;5;Cochran_1957
15;3;Cochran_1957
27;8;Cochran_1957
36;8;Cochran_1957
48;4;Cochran_1957
20;9;Cochran_1957
29;8;Cochran_1957
17;7;Cochran_1957
4;8;Cochran_1957
35;8;Evans_Anastasio_1968
18;8;Evans_Anastasio_1968
3;10;Evans_Anastasio_1968
3;10;Evans_Anastasio_1968
11;7;Evans_Anastasio_1968
12;10;Evans_Anastasio_1968
20;8.5;Evans_Anastasio_1968
26;9;Evans_Anastasio_1968
27;9;Evans_Anastasio_1968
36;9;Evans_Anastasio_1968
42;10;Evans_Anastasio_1968
6;9.0;Evans_Anastasio_1968
7;9;Evans_Anastasio_1968
29;10;Evans_Anastasio_1968
9;9;Evans_Anastasio_1968
23;9;Evans_Anastasio_1968
8;9;Evans_Anastasio_1968
38;7;Evans_Anastasio_1968
46;7;Evans_Anastasio_1968
40;10;Evans_Anastasio_1968
2;8;Evans_Anastasio_1968
5;10;Evans_Anastasio_1968
13;10;Evans_Anastasio_1968
19;9;Evans_Anastasio_1968
21;9;Evans_Anastasio_1968
24;10;Evans_Anastasio_1968
25;9;Evans_Anastasio_1968
28;10;Evans_Anastasio_1968
33;10;Evans_Anastasio_1968
37;9;Evans_Anastasio_1968
39;9;Evans_Anastasio_1968
43;10;Evans_Anastasio_1968
44;8;Evans_Anastasio_1968
34;#N/B;Evans_Anastasio_1968
32;10;Evans_Anastasio_1968
10;10;Evans_Anastasio_1968
34;#N/B;Evans_Anastasio_1968
15;8;Evans_Anastasio_1968
47;10;Evans_Anastasio_1968
35;8;Evans_Anastasio_1968
48;8;Evans_Anastasio_1968
4;8;Evans_Anastasio_1968
17;4;Evans_Anastasio_1968
22;7;Evans_Anastasio_1968
40;9;Glass_et_all_1972
24;8;Glass_et_all_1972
26;8.5;Glass_et_all_1972
2;8;Glass_et_all_1972
8;7;Glass_et_all_1972
21;7;Glass_et_all_1972
32;10;Glass_et_all_1972
37;7;Glass_et_all_1972
11;6;Glass_et_all_1972
6;8.0;Glass_et_all_1972
13;10;Glass_et_all_1972
47;8;Glass_et_all_1972
5;9;Glass_et_all_1972
11;8;Henson_1998
2;5;Henson_1998
9;8;Henson_1998
10;9;Henson_1998
37;8.5;Henson_1998
45;9;Henson_1998
43;8;Henson_1998
5;9;Henson_1998
13;8;Huitema_2011
4;8;Huitema_2011
19;8;Huitema_2011
33;8;Huitema_2011
46;9;Huitema_2011
23;8;Huitema_2011
6;8.5;Huitema_2011
38;7;Huitema_2011
18;8;Huitema_2011
48;8;Huitema_2011
29;8;Huitema_2011
25;10;Huitema_2011
34;#N/B;Huitema_2011
13;8;Keselman_et_all_1998
1;9;Keselman_et_all_1998
2;10;Keselman_et_all_1998
5;7;Keselman_et_all_1998
16;8;Keselman_et_all_1998
21;7;Keselman_et_all_1998
32;10;Keselman_et_all_1998
37;7;Keselman_et_all_1998
38;7;Keselman_et_all_1998
40;8;Keselman_et_all_1998
20;9;Keselman_et_all_1998
11;7;Keselman_et_all_1998
43;8;Keselman_et_all_1998
47;7;Keselman_et_all_1998
18;8;Loftin_Madison_1991
6;8.0;Loftin_Madison_1991
5;9;Loftin_Madison_1991
18;8;Lord_1969
15;6;Lord_1969
26;7;Lord_1969
27;8;Lord_1969
36;10;Lord_1969
42;9;Lord_1969
29;7;Lord_1969
6;8.5;Lord_1969
45;9;Lord_1969
9;7;Lord_1969
17;5;Lord_1969
46;7;Lord_1969
22;9;Lord_1969
40;9;Lord_1969
2;8;Lord_1969
13;10;Lord_1969
21;10;Lord_1969
24;9;Lord_1969
25;9;Lord_1969
28;10;Lord_1969
33;10;Lord_1969
43;10;Lord_1969
44;9;Lord_1969
7;8;Lord_1969
35;8;Lord_1969
4;9;Lord_1969
6;8.0;Overall_Woodward_1977
17;10;Overall_Woodward_1977
26;9;Overall_Woodward_1977
20;8;Overall_Woodward_1977
34;#N/B;Overall_Woodward_1977
28;9;Overall_Woodward_1977
22;8;Overall_Woodward_1977
12;8;Overall_Woodward_1977
20;9;Overall_Woodward_1977
27;8;Overall_Woodward_1977
36;8;Overall_Woodward_1977
34;#N/B;Overall_Woodward_1977
42;9;Overall_Woodward_1977
6;8.0;Overall_Woodward_1977
8;8;Overall_Woodward_1977
46;6;Overall_Woodward_1977
2;8;Overall_Woodward_1977
10;7;Overall_Woodward_1977
13;9;Overall_Woodward_1977
19;8;Overall_Woodward_1977
21;8;Overall_Woodward_1977
23;9;Overall_Woodward_1977
37;8.5;Overall_Woodward_1977
38;7;Overall_Woodward_1977
39;7;Overall_Woodward_1977
44;8;Overall_Woodward_1977
45;9;Overall_Woodward_1977
7;9;Overall_Woodward_1977
28;9;Overall_Woodward_1977
47;8;Overall_Woodward_1977
34;#N/B;Overall_Woodward_1977
32;10;Overall_Woodward_1977
4;9;Overall_Woodward_1977
35;8,5;Overall_Woodward_1977
15;7;Overall_Woodward_1977
48;8;Overall_Woodward_1977
35;8;Storandt_Hudson_1975
34;#N/B;Storandt_Hudson_1975
9;7,5;Storandt_Hudson_1975
26;6.5;Storandt_Hudson_1975
42;8;Storandt_Hudson_1975
1;8;Storandt_Hudson_1975
3;10;Storandt_Hudson_1975
28;10;Storandt_Hudson_1975
39;7;Storandt_Hudson_1975
43;8;Storandt_Hudson_1975
44;8;Storandt_Hudson_1975
47;10;Storandt_Hudson_1975
7;8;Storandt_Hudson_1975
40;7;Storandt_Hudson_1975
10;8;Storandt_Hudson_1975
1;10;dAgostino_1998
45;9;Smith_1957
18;7;Smith_1957
47;9;Smith_1957
23;7;Smith_1957
20;8.5;Smith_1957
11;7;Smith_1957
9;6;Smith_1957
2;5;Smith_1957
8;8;Smith_1957
12;7;Smith_1957
13;9;Smith_1957
28;9;Smith_1957
38;6;Smith_1957
15;7;Smith_1957
24;6;Smith_1957
19;8;Smith_1957
34;#N/B;Knoke_1991
3;9;Knoke_1991
4;10;Lord_1967
6;8.0;Lord_1967
18;8;Lord_1967
3;10;Lord_1967
11;8;Lord_1967
12;8;Lord_1967
20;8.5;Lord_1967
26;7;Lord_1967
27;9;Lord_1967
36;9;Lord_1967
42;9;Lord_1967
45;8;Lord_1967
29;7;Lord_1967
9;7;Lord_1967
1;10;Lord_1967
2;9;Lord_1967
5;10;Lord_1967
8;9;Lord_1967
13;10;Lord_1967
17;6;Lord_1967
19;10;Lord_1967
21;10;Lord_1967
23;10;Lord_1967
24;8;Lord_1967
25;9;Lord_1967
28;10;Lord_1967
33;10;Lord_1967
37;8.5;Lord_1967
38;8;Lord_1967
39;7;Lord_1967
44;10;Lord_1967
46;7;Lord_1967
22;9;Lord_1967
40;10;Lord_1967
15;6;Lord_1967
48;7;Lord_1967
10;10;Lord_1967
48;6;Lord_1967
35;9;Lord_1967
1;9;Newcomer_et_al_1994
5;9;Prosser_1990
9;7;Tracy_Sugar_1989
2;9;Tracy_Sugar_1989
5;8;Tracy_Sugar_1989
19;7;Tracy_Sugar_1989
34;8;Tracy_Sugar_1989
3;10;Tracy_Sugar_1989
4;9;Werner_1997
20;9;Raaijmakers_1987
